"arc_length","physVelocity_X"
0,1.27321
0.0096,1.27331
0.0192,1.2734
0.0288,1.27355
0.0384,1.27371
0.048,1.27393
0.0576,1.27415
0.0672,1.27442
0.0768,1.27469
0.0864,1.275
0.096,1.27532
0.1056,1.27565
0.1152,1.27599
0.1248,1.27634
0.1344,1.27668
0.144,1.27701
0.1536,1.27733
0.1632,1.27764
0.1728,1.2779
0.1824,1.27815
0.192,1.27833
0.2016,1.27848
0.2112,1.27854
0.2208,1.27857
0.2304,1.27845
0.24,1.27833
0.2496,1.27799
0.2592,1.27765
0.2688,1.27706
0.2784,1.27644
0.288,1.27555
0.2976,1.2746
0.3072,1.27334
0.3168,1.27199
0.3264,1.27033
0.336,1.26851
0.3456,1.26637
0.3552,1.26401
0.3648,1.26133
0.3744,1.25835
0.384,1.25508
0.3936,1.2514
0.4032,1.24746
0.4128,1.243
0.4224,1.23833
0.432,1.23301
0.4416,1.22754
0.4512,1.22129
0.4608,1.21496
0.4704,1.2077
0.48,1.20043
0.4896,1.19208
0.4992,1.18374
0.5088,1.17433
0.5184,1.16483
0.528,1.15432
0.5376,1.14361
0.5472,1.13195
0.5568,1.11997
0.5664,1.10711
0.576,1.09382
0.5856,1.07974
0.5952,1.06511
0.6048,1.04978
0.6144,1.03377
0.624,1.01717
0.6336,0.999768
0.6432,0.981896
0.6528,0.963091
0.6624,0.943935
0.672,0.923731
0.6816,0.903294
0.6912,0.881698
0.7008,0.859989
0.7104,0.837019
0.72,0.814049
0.7296,0.789728
0.7392,0.765407
0.7488,0.739872
0.7584,0.714227
0.768,0.687504
0.7776,0.660567
0.7872,0.632685
0.7968,0.60449
0.8064,0.575479
0.816,0.54606
0.8256,0.515949
0.8352,0.485344
0.8448,0.454162
0.8544,0.422404
0.864,0.39018
0.8736,0.357302
0.8832,0.324061
0.8928,0.290093
0.9024,0.25586
0.912,0.220828
0.9216,0.185622
0.9312,0.149548
0.9408,0.113387
0.9504,0.0762858
0.96,0.0391841
