"arc_length","physVelocity_X"
0,1.27197
0.00975,1.27202
0.0195,1.2721
0.02925,1.27221
0.039,1.27235
0.04875,1.27252
0.0585,1.27271
0.06825,1.27293
0.078,1.27317
0.08775,1.27343
0.0975,1.27371
0.10725,1.274
0.117,1.2743
0.12675,1.27461
0.1365,1.27491
0.14625,1.2752
0.156,1.27548
0.16575,1.27575
0.1755,1.27599
0.18525,1.2762
0.195,1.27636
0.20475,1.27647
0.2145,1.27654
0.22425,1.27653
0.234,1.27643
0.24375,1.27625
0.2535,1.27597
0.26325,1.27559
0.273,1.27507
0.28275,1.27439
0.2925,1.27358
0.30225,1.27261
0.312,1.27147
0.32175,1.27008
0.3315,1.26849
0.34125,1.26668
0.351,1.26465
0.36075,1.26232
0.3705,1.25968
0.38025,1.25676
0.39,1.25354
0.39975,1.25
0.4095,1.24601
0.41925,1.24167
0.429,1.23696
0.43875,1.23187
0.4485,1.2263
0.45825,1.22022
0.468,1.21371
0.47775,1.20674
0.4875,1.19931
0.49725,1.1912
0.507,1.18259
0.51675,1.17346
0.5265,1.1638
0.53625,1.15351
0.546,1.14254
0.55575,1.13099
0.5655,1.11887
0.57525,1.10617
0.585,1.09265
0.59475,1.0785
0.6045,1.06374
0.61425,1.04837
0.624,1.03228
0.63375,1.01541
0.6435,0.997903
0.65325,0.979767
0.663,0.960998
0.67275,0.941392
0.6825,0.92111
0.69225,0.900197
0.702,0.878657
0.71175,0.856424
0.7215,0.833395
0.73125,0.809752
0.741,0.785499
0.75075,0.760641
0.7605,0.735015
0.77025,0.708737
0.78,0.681878
0.78975,0.654442
0.7995,0.626396
0.80925,0.597612
0.819,0.568278
0.82875,0.5384
0.8385,0.507986
0.84825,0.476911
0.858,0.445243
0.86775,0.413064
0.8775,0.380379
0.88725,0.347177
0.897,0.313307
0.90675,0.278953
0.9165,0.24412
0.92625,0.208811
0.936,0.17293
0.94575,0.1365
0.9555,0.099608
0.96525,0.0622554
0.975,0.0244442
